Phenotype ID:,BXD_12881
Phenotype URL: ,http://genenetwork.org/show_trait?trait_id=12881&dataset=BXDPublish
Group: ,BXD
Phenotype: ,Blood chemistry: Cholesterol (total) of 14-week old females [mM]
Authors: ,"Andreux P, Williams EG, Koutnikova H, Houtkooper RH, Champy MF, Henry H, Schoonjans K, Williams RW, Auwerx J"
Title: ,Systems genetics of metabolism: the use of the BXD murine reference panel for multiscalar integration of traits
Journal: ,Cell
Dataset Link: ,http://gn1.genenetwork.org/webqtl/main.py?FormID=sharinginfo&InfoPageName=BXDPublish
Export Date: ,"December 01, 2022"
Export Time: ,14:54 GMT
Index,Name,Value,SE,N,Status,RRID,Epoch,SeqCvge
1,C57BL/6J,1.878,0.041,8,Live,JAX:000664,,69.14
2,BXD43,1.805,0.115,2,Live,JAX:007093,3a,39.54
3,BXD44,2.165,0.165,2,Live,JAX:007094,3a,38.66
4,BXD55,1.68,0,2,Live,JAX:007103,3a,39.65
5,BXD56,1.815,0.135,2,Live,JAX:007104,3a,40.37
6,BXD60,2.72,0.18,2,Live,JAX:007105,3b,42.32
7,BXD61,2.095,0.175,2,Live,JAX:007106,3b,39.94
8,BXD65,2.605,0.135,2,Live,JAX:007110,3b,39.08
9,BXD66,2.165,0.085,2,Live,JAX:007111,3b,33.40
10,BXD68,2.42,0.19,2,Live,JAX:007113,3b,36.51
11,BXD69,2.73,0.4,2,Live,JAX:007114,3b,38.88
12,BXD73,1.875,0.135,2,Live,JAX:007117,3b,33.43
13,BXD73a,2.28,,1,Live,JAX:007124,3b,35.86
14,BXD73b,1.935,0.045,2,Live,JAX:007146,3b,
15,BXD75,2.21,0.02,2,Live,JAX:007119,3b,39.44
16,BXD81,2.63,0.08,2,Live,JAX:007125,3b,33.74
17,BXD84,2.305,0.065,2,Live,JAX:007127,3b,41.48
18,BXD86,2.475,0.155,2,Live,JAX:007129,3b,41.77
19,BXD89,2.175,0.035,2,Live,JAX:007132,3b,41.79
20,BXD90,2.915,0.005,2,Live,JAX:007133,3b,38.19
21,BXD95,2.41,0.27,2,Live,JAX:007138,3b,32.16
22,BXD98,1.79,,1,Live,JAX:007141,3b,37.73
23,BXD100,1.935,0.015,2,Live,JAX:007143,3b,40.05
24,BXD101,2.45,0.11,2,Live,JAX:007144,3b,
